Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
116,Hayden Hurst\HursHa00,ATL,27,te,4,1,22,13,162,12.5,2,7,42,3.3,40.5,59.1%,7.4,,,,0,,,,,13,12.5,162,2,0
117,JuJu Smith-Schuster\SmitJu00,PIT,24,wr,3,3,19,17,160,9.4,3,10,26,5.7,53.3,89.5%,8.4,,,,0,,,,,17,9.4,160,3,0
118,Chase Claypool\ClayCh01,PIT,22,,3,0,9,6,151,25.2,1,4,84,2.0,50.3,66.7%,16.8,1,8,0,1,8,8.0,2.7,0.3,7,22.7,159,1,1
119,Diontae Johnson\JohnDi01,PIT,24,wr,3,3,25,14,149,10.6,1,9,28,4.7,49.7,56.0%,6.0,1,9,0,0,9,9.0,3.0,0.3,15,10.5,158,1,1
120,Leonard Fournette\FourLe00,TAM,25,,4,0,8,7,34,4.9,0,2,14,1.8,8.5,87.5%,4.3,24,123,2,5,46,5.1,30.8,6.0,31,5.1,157,2,0
121,Darnell Mooney\MoonDa00,CHI,23,wr,5,1,25,15,160,10.7,1,7,33,3.0,32.0,60.0%,6.4,1,-3,0,0,-3,-3.0,-0.6,0.2,16,9.8,157,1,1
122,Tyler Higbee\HigbTy00,LAR,27,te,4,4,15,13,154,11.8,3,8,31,3.3,38.5,86.7%,10.3,,,,0,,,,,13,11.8,154,3,0
123,Isaiah Ford\FordIs00,MIA,24,,4,0,26,15,151,10.1,0,11,17,3.8,37.8,57.7%,5.8,,,,0,,,,,15,10.1,151,0,0
124,J.D. McKissic\McKiJ.00,WAS,27,rb,4,3,17,11,78,7.1,0,3,26,2.8,19.5,64.7%,4.6,18,72,0,4,13,4.0,18.0,4.5,29,5.2,150,0,1
125,Cam Newton\NewtCa00,NWE,31,qb,3,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,35,149,4,15,21,4.3,49.7,11.7,35,4.3,149,4,0
126,Brian Hill\HillBr02,ATL,25,,4,0,9,7,54,7.7,0,1,22,1.8,13.5,77.8%,6.0,19,94,1,4,35,4.9,23.5,4.8,26,5.7,148,1,0
